,,Parmacy,English TOLC-F In-Person,30 Euros
,,,,
,University of Rome III,TRANSITIONAL LANDSCAPES. HERITAGE MAKING AND MINDSCAPES IN TIME OF GLOBAL CHANGE,English TOLC-E,No Fee
,,,,
,,,,
Lombardy,,,,
Milan,University of Milan,"International Politics, Law and Economics (IPLE)",No Exam,No Fee
,,"Economics: behavior, data and policy",English TOLC-E,
,,Ancient Civilizations for the Contemporary World,No Exam,
,,,,
,Polytechnic University of Milan,Architectural Design,TEST-ARCHED,50 Euros
,,Civil Engineering,TEST-ARCHED,
,,,,
,,,,
Pavia,University of Pavia,Artificial Intelligence,SAT,35 Euros
,,SOCIAL SCIENCES FOR GLOBAL CHALLENGES,No Exam,35 Euros
,,,,
Marche,,,,
Ancona,Polytechnic University of the Marches,Economics and Business,No Exam,No Fee
,,,,
,,,,
,,,,
Macerata,University of Macerata,"International, European and Comparative Legal Studies",English TOLC-E,No Fee
,,,,
,,,,
Piedmont,,,,
Turin,University of Turin,Business & Management,SAT,60 Euros
,,Global Law and Transnational Legal Studies,English TOLC-E,
,,Economics and Finance with Data Science,English TOLC-E,
,,,,
,Politecnico di Torino,MECHANICAL ENGINEERING,Online: SAT-GRE-GMAT-ACT / In Person: TIL-I,50 Euros
,,COMPUTER ENGINEERING,,
,,AUTOMOTIVE ENGINEERING,,
,,Electronic and communications engineering,,
,,CIVIL AND ENVIRONMENTAL ENGINEERING,,
,,Architecture,TIL-A,
Sicily,,,,
Messina,University of Messina,Data Analysis,No Exam,15 Euros
,,Political Sciences and International Relations,,
,,Bachelor's Degree in Civil Engineering,,
,,Marine Biology and Blue Biotechnologies,,
,,Business Management,,
,,Transnational and European Legal Studies,,
,,,,
Palermo,University of Palermo,NURSING,In-Person Exam,No Fee
,,,,
,,,,
Trentino-Alto Adige/SŸdtirol,,,,
Trento,University of Trento,"Comparative, European and International Legal Studies",No Exam,No Fee
,,,,
,,,,
Tuscany,,,,
Florence,University of Florence,Sustainable Business for Societal Changes ,English TOLC-E,20 Euros
,,,,
,,,,
,,,,
Pisa,University of Pisa,Humanities - IPH,English TOLC-E,No Fee
,,Management for Business and Economics,English TOLC-E,
,,,,
,,,,
Siena,University of Siena,Economics and Management curriculum in Banking and Finance,SAT,"40 Euros 
For 2 Fields"
,,Economics and Management curriculum in Business and management,,
,,Economics and Management curriculum in Economics and Social Sciences,,
Umbria,,,,
Perugia,University of Perugia,ENGINEERING MANAGEMENT,No Exam,No Fee
,,,,
,,,,
Veneto,,,,
Padua,University of Padua,Animal Care,No Exam,"30 Euros 
For 3 Fields"
,,"MOLECULAR BIOLOGY, MEDICINAL CHEMISTRY AND COMPUTER SCIENCE FOR PHARMACEUTICAL APPLICATIONS",English TOLC-I,
,,Earth and Climate Dynamics,English TOLC-I,
,,Information Engineering,English TOLC-I,
,,Psychological Science,Oral Test,
,,Techniques and Methods in Psychological Science,Oral Test,
,,,,
Venice,Ca' Foscari University of Venice,Business Administration - Business Administration and Management Curriculum,English TOLC-E,"30 Euros 
For 3 Fields"
,,Computer Science - Data Science Curriculum,English TOLC-I,
,,Digital Management,English TOLC-E,
,,"Economics and Business - Economics, Markets and Finance Curriculum",English TOLC-E,
,,Hospitality Innovation and e-Tourism,English TOLC-E,
,,"Philosophy, International and Economic Studies",Oral Test,
,,,,
,,,,
,,,,
Private-Online,,,,
City,University,Courses,Entrance Exam,Aplication Fee
Lombardy,,,,
Castellanza (VA),University Carlo Cattaneo,Business Economics,English TOLC-E,"50 Euros
Each Field"
,,Business Analytics for Management,English TOLC-E,
,,,,
,,,,
Milan,Bocconi University,MATHEMATICAL AND COMPUTING SCIENCES FOR ARTIFICIAL INTELLIGENCE,English TOLC-I,"100 Euros
Each Field"
,,Mathematical and Computing Sciences for Artificial Intelligence,English TOLC-I,
,,"Economics and Management for Arts, Culture and Communication",English TOLC-E,
,,"Economics, Management and Computer Science",English TOLC-E,
,,International Economics and Finance,English TOLC-E,
,,International Economics and Management,English TOLC-E,
,,International Politics and Government,English TOLC-E,
,,World Bachelor in Business,English TOLC-E,
,,Global Law,English TOLC-E,
,,Economic and Social Sciences,English TOLC-E,
,,,,
,IULM University of Milan,Corporate Communication and Public Relations,English TOLC-E,"20 Euros
Each Field"
